strata_id	layer1	layer2	layer3	layer4	layer5	layer6	natural_growth_acres	prescribed_burn_acres	group_selection_acres	even_age_acres	mixed_severity_wildfire_acres	barkbeetle_acres
BRNLDM	B	R	N	L	D	M	0.0	0.0	0.0	100.58	2.14	4.28
BRNLDL	B	R	N	L	D	L	0.0	0.0	0.0	57.34	1.22	2.44
BRNLWP	B	R	N	L	W	P	0.0	0.0	0.0	99.64	2.12	4.24
BRNLWM	B	R	N	L	W	M	0.0	0.0	0.0	881.72	18.76	37.52
BRNLWL	B	R	N	L	W	L	1253.02	0.0	0.0	0.0	26.66	53.32
BRNLCP	B	R	N	L	C	P	0.0	0.0	0.0	75.2	1.6	3.2
BRNLCM	B	R	N	L	C	M	0.0	0.0	0.0	715.3399999999999	15.22	30.44
BRNLCL	B	R	N	L	C	L	0.0	0.0	0.0	1476.74	31.42	62.84
BRNLIM	B	R	N	L	I	M	0.0	0.0	0.0	105.28	2.24	4.48
BRNLIL	B	R	N	L	I	L	0.0	0.0	0.0	106.22	2.2600000000000002	4.5200000000000005
BRNLAM	B	R	N	L	A	M	0.0	0.0	0.0	183.29999999999998	3.9	7.8
BRNLAL	B	R	N	L	A	L	0.0	0.0	0.0	291.40000000000003	6.2	12.4
BRNLLM	B	R	N	L	L	M	0.0	0.0	0.0	62.98	1.34	2.68
BRNHWP	B	R	N	H	W	P	0.0	0.0	0.0	121.26	2.58	5.16
BRNHWM	B	R	N	H	W	M	384.46	0.0	0.0	0.0	8.18	16.36
BRNHWL	B	R	N	H	W	L	0.0	0.0	0.0	663.64	14.120000000000001	28.240000000000002
BRNHCP	B	R	N	H	C	P	0.0	0.0	0.0	54.52	1.16	2.32
BRNHCM	B	R	N	H	C	M	0.0	0.0	0.0	478.46	10.18	20.36
BRNHCL	B	R	N	H	C	L	0.0	0.0	0.0	957.86	20.38	40.76
BRNHAM	B	R	N	H	A	M	0.0	0.0	0.0	53.58	1.1400000000000001	2.2800000000000002
BRNHLM	B	R	N	H	L	M	0.0	0.0	0.0	110.92	2.36	4.72
BRNCPM	B	R	N	C	P	M	0.0	0.0	0.0	415.48	8.84	17.68
BRNCPL	B	R	N	C	P	L	0.0	0.0	0.0	786.78	16.740000000000002	33.480000000000004
BRNCDM	B	R	N	C	D	M	0.0	0.0	0.0	354.38	7.54	15.08
